Name,Constituency,State,Party,debate,bill,questions,attendance,
G.V. Harsha Kumar,Amalapuram,Andhra Pradesh,Indian National Congress,1,0,171,0.67,
Giridhar Gamang,Koraput,Orissa,Indian National Congress,13,0,124,0.77,
Govinda Arun Ahuja,Mumbai North,Maharashtra,Indian National Congress,2,0,0,0.12,
Gurjeet Singh Rana,Jullundur,Punjab,Indian National Congress,10,0,10,0.67,
Gurudas Kamat,Mumbai North East,Maharashtra,Indian National Congress,0,0,142,0.70,
Harisinh Pratapsinh Chavda,Banaskantha,Gujarat,Indian National Congress,41,0,416,0.88,
Inderjit Singh Rao,Mahendergarh,Haryana,Indian National Congress,*,*,*,*,
Ingrid Mcleod,Nominated,Chattisgarh,Indian National Congress,12,1,110,0.70,
Iqbal Ahmed Saradgi,Gulbarga,Karnataka,Indian National Congress,41,8,960,0.66,
J.M. Aaron Rashid,Periyakulam,Tamil Nadu,Indian National Congress,66,0,286,0.71,
Jagdish Tytler,Delhi Sadar,Delhi,Indian National Congress,3,0,0,0.54,
Jai Parkash,Hissar,Haryana,Indian National Congress,27,0,16,0.71,
Jaipal Sudini Reddy,Miryalguda ,Andhra Pradesh,Indian National Congress,*,*,*,*,
Jashubhai Dhanabhai Barad,Junagadh,Gujarat,Indian National Congress,24,0,911,0.46,
Jhansi Botcha Lakshmi,Bobbili ,Andhra Pradesh,Indian National Congress,45,0,103,0.83,
Jitin Prasada,Shahjahanpur,Uttar Pradesh,Indian National Congress,4,0,6,0.72,
Jivabhai Ambalal Patel,Mehsana,Gujarat,Indian National Congress,37,0,440,0.76,
Jyotiraditya Madhavrao Scindia,Guna,Madhya Pradesh,Indian National Congress,14,0,534,0.78,
K. Jayasurya Prakash Reddy,Kurnool,Andhra Pradesh,Indian National Congress,0,0,170,0.62,
K. Rani,Rasipuram,Tamil Nadu,Indian National Congress,14,0,14,0.71,
K. Virupakshappa,Koppal,Karnataka,Indian National Congress,0,0,39,0.51,
K.C. Singh Baba,Nainital,Uttrakhand,Indian National Congress,29,4,116,0.63,
K.H. Muniyappa,Kolar,Karnataka,Indian National Congress,*,*,*,*,
K.V. Thangka Balu,Salem,Tamil Nadu,Indian National Congress,21,0,0,0.76,
Kamal nath,Chhindwara,Madhya Pradesh,Indian National Congress,*,*,*,*,
Kantilal Bhuria,Jhabua,Madhya Pradesh,Indian National Congress,*,*,*,*,
Kapil Sibal,Chandni Chowk,Delhi,Indian National Congress,*,*,*,*,
Karan Singh Yadav,Alwar,Rajasthan,Indian National Congress,133,0,14,0.93,
Kavuru Samba Siva Rao,Eluru,Andhra Pradesh,Indian National Congress,87,14,571,0.81,
Kirip Chaliha,Gauhati,Assam,Indian National Congress,23,0,127,0.92,
Kishanbhai Vestabhai Patel,Bulsar,Gujarat,Indian National Congress,15,0,998,0.76,
Krishna Tirath,Karol Bagh,Delhi,Indian National Congress,32,7,35,0.94,
Kuldeep Bishnoi^,Bhiwani,Haryana,Indian National Congress,4,0,386,0.59,
Kunwar Manvendra Singh,Mathura,Uttar Pradesh,Indian National Congress,48,1,203,0.79,
Lakshmi Panabaka,Nellore,Andhra Pradesh,Indian National Congress,*,*,*,*,
Lalit Mohan Suklabaidya,Karimganj,Assam,Indian National Congress,37,0,25,0.86,
M. Anjan Kumar Yadav,Secunderabad,Andhra Pradesh,Indian National Congress,7,0,315,0.70,
M.H. Ambareesh,Mandya,Karnataka,Indian National Congress,0,0,0,0.27,
Madan Lal Sharma,Jammu,Jammu and Kashmir,Indian National Congress,39,0,170,0.77,
Madhu Goud Yaskhi,Nizamabad,Andhra Pradesh,Indian National Congress,18,0,244,0.83,
Madhusudan Devram Mistry,Sabarkantha,Gujarat,Indian National Congress,100,0,101,0.90,
Magunta Sreenivasulu Reddy,Ongole,Andhra Pradesh,Indian National Congress,10,0,417,0.48,
Mahabir Prasad,Bansgaon,Uttar Pradesh,Indian National Congress,*,*,*,*,
Mallipudi Raju Pallam Mangapati,Kakinada,Andhra Pradesh,Indian National Congress,8,0,2,0.85,
Mani Shankar Aiyar,Mayiladuturai,Tamil Nadu,Indian National Congress,*,*,*,*,
Manik Singh,Sidhi ,Madhya Pradesh,Indian National Congress,1,0,6,0.61,
Manikrao Hodlya Gavit,Nandurbar,Maharashtra,Indian National Congress,0,0,0,*,
Manoranjan Bhakta,A & N Islands,Andaman and Nicobar,Indian National Congress,31,0,425,0.64,
Meira Kumar,Sasaram,Bihar,Indian National Congress,*,*,*,*,
Mekapati Rajamohan Reddy,Narasaraopet,Andhra Pradesh,Indian National Congress,14,0,365,0.76,
Milind Murli Deora,Mumbai South,Maharashtra,Indian National Congress,10,0,472,0.75,
Moni Kumar Subba,Tezpur,Assam,Indian National Congress,0,0,482,0.77,
N.S.V. Chitthan,Dindigul,Tamil Nadu,Indian National Congress,63,0,193,0.88,
N.Y. Hanumanthappa,Chitradurga,Karnataka,Indian National Congress,7,0,0,0.51,
Namo Narain Meena,Sawai Madhopur,Rajasthan,Indian National Congress,*,*,*,*,
Naranbhai J. Rathwa,Chhota Udaipur,Gujarat,Indian National Congress,*,*,*,*,
Narsing Hulla Suryawanshi,Bidar,Karnataka,Indian National Congress,1,0,5,0.77,
Naveen Jindal,Kurukshetra,Haryana,Indian National Congress,35,0,376,0.71,
Nedurumalli Janardhana Reddy,Visakhapatnam,Andhra Pradesh,Indian National Congress,1,0,146,0.66,
Nikhil Kumar,Aurangabad,Bihar,Indian National Congress,62,0,542,0.88,
Palaniappan Chidambaram,Sivaganga,Tamil Nadu,Indian National Congress,*,*,*,*,
Paty Ripple Kyndiah,Shillong,Meghalaya,Indian National Congress,*,*,*,*,
Pawan Kumar Bansal,Chandigarh,Chandigarh,Indian National Congress,63,6,107,0.95,
Pranab Mukherjee,Jangipur,West Bengal,Indian National Congress,*,*,*,*,
Pratibha Singh,Mandi,Himachal Pradesh,Indian National Congress,49,0,115,0.86,
Pratik Prakashbapu Patil,Sangli,Maharashtra,Indian National Congress,1,0,77,0.65,
Preneet Kaur,Patiala,Punjab,Indian National Congress,6,0,7,0.76,
Priya Ranjan Dasmunsi,Raiganj,West Bengal,Indian National Congress,*,*,*,*,
Priya Sunil Dutt,Mumbai North West,Maharashtra,Indian National Congress,4,0,31,0.46,
R. Prabhu,Nilgiris,Tamil Nadu,Indian National Congress,10,0,12,0.56,
R.L. Jalappa,Chikballapur,Karnataka,Indian National Congress,9,0,9,0.48,
Rahul Gandhi,Amethi,Uttar Pradesh,Indian National Congress,5,0,3,0.63,
Rajagopal Lagadapati,Vijayawada,Andhra Pradesh,Indian National Congress,37,8,376,0.73,
Rajesh Kumar Mishra,Varanasi,Uttar Pradesh,Indian National Congress,53,0,270,0.78,
Ramakrishna Badiga,Machilipatnam,Andhra Pradesh,Indian National Congress,9,0,649,0.75,
Rameshwar Oraon,Lohardaga,Jharkhand,Indian National Congress,18,0,21,0.50,
Renuka Chowdhury,Khammam,Andhra Pradesh,Indian National Congress,*,*,*,*,
S.P.Y. Reddy,Nandyal,Andhra Pradesh,Indian National Congress,8,3,65,0.51,
Sachin Pilot,Dausa,Rajasthan,Indian National Congress,12,0,1,0.82,
Sai Prathap Annayyagari,Rajampet,Andhra Pradesh,Indian National Congress,10,0,206,0.85,
Sajjan Kumar,Outer Delhi,Delhi,Indian National Congress,14,0,173,0.95,
Salarapatty Kuppusamy Kharventhan,Palani,Tamil Nadu,Indian National Congress,177,2,1108,0.79,
Sambasiva Rayapati Rao,Guntur,Andhra Pradesh,Indian National Congress,33,10,950,0.63,
Sandeep Dikshit,East Delhi,Delhi,Indian National Congress,38,0,0,0.84,
Sathyanarayana Sarvey,Siddipet,Andhra Pradesh,Indian National Congress,3,0,189,0.69,
Selja,Ambala,Haryana,Indian National Congress,*,*,*,*,
Shakeel Ahmad,Madhubani,Bihar,Indian National Congress,*,*,*,*,
Shankersinh Vaghela,Kapadvanj,Gujarat,Indian National Congress,*,*,*,*,
Shriprakash Jaiswal,Kanpur,Uttar Pradesh,Indian National Congress,*,*,*,*,
Sis Ram Ola,Jhunjhunu,Rajasthan,Indian National Congress,*,*,*,*,
Sonia Gandhi,Rae Bareli,Uttar Pradesh,Indian National Congress,3,0,0,0.36,
Sontosh Mohan Dev,Silchar,Assam,Indian National Congress,*,*,*,*,
Subodh Kant Sahay,Ranchi,Jharkhand,Indian National Congress,*,*,*,*,
Surendra Prakash Goel,Hapur,Uttar Pradesh,Indian National Congress,27,0,103,0.95,
Suresh Kalmadi,Pune,Maharashtra,Indian National Congress,2,0,148,0.71,
Sushila Kerketta,Khunti,Jharkhand,Indian National Congress,4,0,0,0.80,
Tejasvini Gowda,Kanakapura,Karnataka,Indian National Congress,74,0,1,0.66,
Thokchom Meinya,Inner Manipur,Manipur,Indian National Congress,58,0,106,0.96,
Tushar Amarsinh Chaudhary,Mandvi,Gujarat,Indian National Congress,15,0,10,0.84,
V. Kishore Chandra S. Deo,Parvathipuram,Andhra Pradesh,Indian National Congress,15,0,2,0.95,
Vijay Bahuguna,Tehri Garhwal ,Uttrakhand,Indian National Congress,5,0,13,0.70,
Vikrambhai Arjanbhai Maadam,Jamnagar,Gujarat,Indian National Congress,8,0,385,0.61,
Vilas Baburao Muttemwar,Nagpur,Maharashtra,Indian National Congress,*,*,*,*,
Virjibhai Thummar,Amreli,Gujarat,Indian National Congress,67,0,559,0.93,
Y.S. Vivekananda Reddy,Cuddapah,Andhra Pradesh,Indian National Congress,2,0,0,0.54,
Mehbooba Mufti^,Anantnag,Jammu and Kashmir,Jammu & Kashmir People's Democratic Party,14,0,8,0.48,
Abdul Rashid Shaheen,Baramullah,Jammu and Kashmir,Jammu and Kashmir National Conference,32,0,353,0.81,
Omar Abdullah^,Srinagar,Jammu and Kashmir,Jammu and Kashmir National Conference,6,0,0,0.48,
H.D. Devegowda,Hassan,Karnataka,Janata Dal (Secular),6,0,0,0.39,
M. Shivanna,Chamrajanagar,Karnataka,Janata Dal (Secular),108,1,414,0.70,
M.P. Veerendra Kumar,Calicut,Kerala,Janata Dal (Secular),71,2,296,0.69,
George Fernandes^,Muzaffarpur,Bihar,Janata Dal (United),10,0,18,0.72,
Kailash Baitha^,Bagaha (SC),Bihar,Janata Dal (United),10,0,121,0.81,
Kunwar Sarvraj Singh,Aonla,Uttar Pradesh,Janata Dal (United),0,0,0,0.88,
Meena Singh^,Bikramganj,Bihar,Janata Dal (United),1,0,0,0.89,
P. Pookunhi Koya^,Lakshadweep,Lakshadweep,Janata Dal (United),6,1,118,0.72,
Prabhunath Singh^,Maharajganj,Bihar,Janata Dal (United),158,0,657,0.80,
Rajiv Ranjan (Lalan) Singh^,Begusarai,Bihar,Janata Dal (United),46,0,510,0.80,
Ramswaroop Prasad^,Nalanda ,Bihar,Janata Dal (United),3,0,0,0.92,
Hemlal Murmu,Rajmahal,Jharkhand,Jharkhand Mukti Morcha,36,0,678,0.51,
Shibu Soren,Dumka,Jharkhand,Jharkhand Mukti Morcha,4,0,1,0.14,
Sudam Marndi,Mayurbhanj,Orissa,Jharkhand Mukti Morcha,0,0,16,0.41,
Suman Mahato,Jamshedpur,Jharkhand,Jharkhand Mukti Morcha,5,0,0,0.58,
Tek Lal Mahto,Giridih,Jharkhand,Jharkhand Mukti Morcha,35,0,212,0.66,
K. Francis George,Idukki,Kerala,Kerala Congress (M),104,0,46,0.70,
P.C. Thomas,Muvattupuzha,Kerala,Kerala Congress (M),97,0,466,0.71,
Ram Vilas Paswan,Hajipur,Bihar,Lok Janshakti Party,*,*,*,*,
Ramchandra Paswan,Rosera,Bihar,Lok Janshakti Party,4,0,57,0.75,
Ranjeet Ranjan,Saharsa,Bihar,Lok Janshakti Party,31,0,22,0.81,
Suraj Singh,Balia,Bihar,Lok Janshakti Party,12,0,156,0.64,
A. Ravichandran Sippiparai,Sivakasi,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,66,0,224,0.88,
C. Krishnan,Pollachi,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,48,0,0,0.89,
Gingee N Ramachandran,Vandavasi,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,5,4,0,0.33,
L. Ganesan,Tiruchirappalli,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,17,0,30,0.40,
Vanlalzawma,Mizoram,Mizoram,Mizo National Front,10,0,8,0.89,
W. Wangyuh Konyak,Nagaland,Nagaland,Nagaland Peoples Front,17,2,7,0.77,
Baleshwar Yadav,Padrauna,Uttar Pradesh,National Loktrantrik Party,5,0,205,0.63,
Agatha K Sangma,Tura,Meghalaya,Nationalist Congress Party,1,0,0,0.78,
Devidas Anandrao Pingle,Nasik,Maharashtra,Nationalist Congress Party,6,0,276,0.66,
Jaisingrao Gaikwad Patil,Beed,Maharashtra,Nationalist Congress Party,13,0,2,0.77,
Laxman Rao Pandurang Patil,Satara,Maharashtra,Nationalist Congress Party,0,0,0,0.64,
Nivedita Mane,Ichalkaranji,Maharashtra,Nationalist Congress Party,5,0,684,0.54,
Sadashivrao Dadoba Mandlik,Kolhapur,Maharashtra,Nationalist Congress Party,18,0,144,0.57,
Sharad Chandra Govindrao Pawar,Baramati,Maharashtra,Nationalist Congress Party,*,*,*,*,
Shriniwas Dadasaheb Patil,Karad,Maharashtra,Nationalist Congress Party,27,0,271,0.65,
Suryakanta Patil,Hingoli,Maharashtra,Nationalist Congress Party,*,*,*,*,
Tukaram Gangadhar Gadakh,Ahmednagar,Maharashtra,Nationalist Congress Party,1,0,224,0.38,
Vasantrao J. More,Erandol ,Maharashtra,Nationalist Congress Party,0,0,24,0.64,
A.K. Moorthy,Chengalpattu,Tamil Nadu,Paattali Makkal Katchi,0,0,134,0.62,
E. Ponnuswamy,Chidambaram,Tamil Nadu,Paattali Makkal Katchi,21,0,199,0.89,
K. Dhanaraju,Tindivanam,Tamil Nadu,Paattali Makkal Katchi,41,0,317,0.64,
M. Ramadass,Pondicherry,Pondicherry,Paattali Makkal Katchi,151,0,380,0.94,
Raman Senthil,Dharmapuri,Tamil Nadu,Paattali Makkal Katchi,30,6,67,0.81,
Rangasamy Velu,Arakkonam,Tamil Nadu,Paattali Makkal Katchi,*,*,*,*,
Akhilesh Prasad Singh,Motihari,Bihar,Rashtriya Janata Dal,*,*,*,*,
Alok Kumar Mehta,Samastipur,Bihar,Rashtriya Janata Dal,93,1,218,0.84,
Anirudh Prasad (Sadhu) Yadav,Gopalganj,Bihar,Rashtriya Janata Dal,28,0,239,0.70,
Devendra Prasad Yadav,Jhanjharpur,Bihar,Rashtriya Janata Dal,175,0,17,0.96,
Dhirendra Agarwal,Chatra,Jharkhand,Rashtriya Janata Dal,16,0,463,0.80,
Ganesh Prasad Singh,Jahanabad,Bihar,Rashtriya Janata Dal,47,0,84,0.94,
Ghuran Ram,Palamau ,Jharkhand,Rashtriya Janata Dal,4,0,9,0.87,
Giridhari Yadav,Banka,Bihar,Rashtriya Janata Dal,16,0,270,0.86,
Jay Prakash Narayan Yadav,Monghyr,Bihar,Rashtriya Janata Dal,*,*,*,*,
Kanti Singh,Arrah,Bihar,Rashtriya Janata Dal,*,*,*,*,
Lalu Prasad,Chapra,Bihar,Rashtriya Janata Dal,*,*,*,*,
Mohammad Ali Ashraf Fatmi,Darbhanga,Bihar,Rashtriya Janata Dal,*,*,*,*,
Mohammed Shahabuddin,Siwan,Bihar,Rashtriya Janata Dal,0,0,2,0.24,
Rabindra Kumar Rana,Khagaria,Bihar,Rashtriya Janata Dal,2,0,27,0.89,
Raghunath Jha,Bettiah,Bihar,Rashtriya Janata Dal,83,0,626,0.48,
Raghuvansh Prasad Singh,Vaishali,Bihar,Rashtriya Janata Dal,*,*,*,*,
Rajesh Kumar Manjhi,Gaya,Bihar,Rashtriya Janata Dal,19,0,15,0.80,
Rajesh Ranjan (Pappu Yadav),Madhepura,Bihar,Rashtriya Janata Dal,5,0,1,0.04,
Ram Kripal Yadav,Patna,Bihar,Rashtriya Janata Dal,230,1,292,0.89,
Sita Ram Yadav,Sitamarhi,Bihar,Rashtriya Janata Dal,14,0,77,0.67,
Sitaram Singh,Sheohar,Bihar,Rashtriya Janata Dal,49,0,145,0.87,
Taslimuddin,Kishanganj,Bihar,Rashtriya Janata Dal,*,*,*,*,
Vijay Krishna,Barh,Bihar,Rashtriya Janata Dal,34,0,549,0.82,
Virchandra Paswan,Nawada,Bihar,Rashtriya Janata Dal,13,0,37,0.93,
Ajit Singh,Baghpat,Uttar Pradesh,Rashtriya Lok Dal,6,1,0,0.43,
Anuradha Choudhary,Kairana,Uttar Pradesh,Rashtriya Lok Dal,3,0,105,0.33,
Munshiram,Bijnor,Uttar Pradesh,Rashtriya Lok Dal,67,0,343,0.89,
Ramdas Athawale,Pandharpur,Maharashtra,Republican Party of India (Athvale),151,10,949,0.85,
Joachim Baxla,Alipurduar,West Bengal,Revolutionary Socialist Party,31,0,300,0.75,
Ranen Barman,Balurghat,West Bengal,Revolutionary Socialist Party,1,0,337,0.51,
Sanat Kumar Mandal,Joynagar,West Bengal,Revolutionary Socialist Party,33,0,454,0.75,
Afzal Ansari,Gazipur,Uttar Pradesh,Samajwadi Party,5,0,0,0.43,
Akhilesh Yadav,Kannauj,Uttar Pradesh,Samajwadi Party,1,0,17,0.35,
Akshay Pratap Singh,Pratapgarh,Uttar Pradesh,Samajwadi Party,0,0,8,0.45,
Ateeq Ahmad,Phulpur,Uttar Pradesh,Samajwadi Party,3,0,79,0.20,
Beni Prasad Verma,Kaiserganj,Uttar Pradesh,Samajwadi Party,0,0,0,0.85,
Chandra Bhushan Singh,Farrukhabad,Uttar Pradesh,Samajwadi Party,12,0,408,0.92,
Chandra Dev Prasad Rajbhar,Ghosi,Uttar Pradesh,Samajwadi Party,0,0,63,0.94,
Chandrapal Singh Yadav,Jhansi,Uttar Pradesh,Samajwadi Party,12,0,0,0.73,
Chaudhary Munawwar Hasan^,Muzaffarnagar,Uttar Pradesh,Samajwadi Party,0,0,272,0.44,
Daroga Prasad Saroj,Lalganj,Uttar Pradesh,Samajwadi Party,4,0,82,0.86,
Dharmendra Yadav,Mainpuri,Uttar Pradesh,Samajwadi Party,4,0,0,0.44,
Hari Kewal Prasad,Salempur,Uttar Pradesh,Samajwadi Party,60,0,597,0.91,
Jai Prakash^,Mohanlalganj,Uttar Pradesh,Samajwadi Party,5,0,129,0.59,
Kirti Vardhan Singh,Gonda,Uttar Pradesh,Samajwadi Party,4,0,533,0.52,
Kunwar Devendra Singh Yadav,Etah,Uttar Pradesh,Samajwadi Party,0,0,8,0.74,
Mohan Singh,Deoria,Uttar Pradesh,Samajwadi Party,131,28,313,0.91,
Neeraj Shekhar,Ballia,Uttar Pradesh,Samajwadi Party,1,0,1,0.84,
P. Jaya Prada Nahata,Rampur,Uttar Pradesh,Samajwadi Party,27,3,269,0.43,
Parasnath Yadav,Jaunpur,Uttar Pradesh,Samajwadi Party,24,0,102,0.83,
Radhey Shyam Kori,Ghatampur,Uttar Pradesh,Samajwadi Party,0,0,1,0.77,
Raghuraj Singh Shakya,Etawah,Uttar Pradesh,Samajwadi Party,41,0,318,0.79,
Raj Babbar,Agra,Uttar Pradesh,Samajwadi Party,7,0,5,0.52,
Rajendra Kumar Badi,Hardwar,Uttrakhand,Samajwadi Party,15,0,107,0.94,
Rajnarayan Budholiya,Hamirpur,Uttar Pradesh,Samajwadi Party,77,0,307,0.93,
Ram Gopal Yadav^,Sambhal,Uttar Pradesh,Samajwadi Party,54,0,0,0.72,
Ramji Lal Suman,Firozabad,Uttar Pradesh,Samajwadi Party,204,0,520,0.85,
Rasheed Masood,Saharanpur,Uttar Pradesh,Samajwadi Party,5,0,408,0.58,
Ravi Prakash Verma,Kheri,Uttar Pradesh,Samajwadi Party,64,0,1050,0.78,
Rewati Raman Singh,Allahabad,Uttar Pradesh,Samajwadi Party,56,0,318,0.76,
Rubab Sayda,Bahraich,Uttar Pradesh,Samajwadi Party,3,0,0,0.57,
S. Bangarappa^,Shimoga,Karnataka,Samajwadi Party,3,0,0,0.39,
S.P. Singh Baghel^,Jalesar,Uttar Pradesh,Samajwadi Party,9,0,0,0.82,
Saleem Iqbal Shervani,Budaun,Uttar Pradesh,Samajwadi Party,0,0,0,0.53,
Shafiqur Rahman Barq,Moradabad,Uttar Pradesh,Samajwadi Party,27,0,37,0.93,
Shailendra Kumar,Chail,Uttar Pradesh,Samajwadi Party,340,0,185,0.89,
Shankhlal Majhi,Akbarpur,Uttar Pradesh,Samajwadi Party,20,0,5,0.71,
Shyama Charan Gupta,Banda,Uttar Pradesh,Samajwadi Party,2,0,29,0.66,
Tufani Saroj,Saidpur,Uttar Pradesh,Samajwadi Party,29,0,144,0.81,
Usha Verma,Hardoi,Uttar Pradesh,Samajwadi Party,7,0,18,0.79,
Charnjit Singh Atwal,Phillaur,Punjab,Shiromani Akali Dal,*,*,*,*,
Paramjit Kaur Gulshan,Bhatinda,Punjab,Shiromani Akali Dal,20,0,21,0.69,
Rattan Singh Ajnala,Taran Taran,Punjab,Shiromani Akali Dal,22,0,44,0.79,
Sardar Zora Singh Mann,Ferozepur,Punjab,Shiromani Akali Dal,8,0,9,0.59,
Sharanjit Singh Dhillon,Ludhiana,Punjab,Shiromani Akali Dal,9,0,0,0.45,
Sukhbir Singh Badal,Faridkot,Punjab,Shiromani Akali Dal,5,0,7,0.25,
Sukhdev Singh Dhindsa,Sangrur,Punjab,Shiromani Akali Dal,47,0,124,0.66,
Sukhdev Singh Libra,Ropar,Punjab,Shiromani Akali Dal,5,0,70,0.90,
Anand Prakash Paranjpe ,Thane,Maharashtra,Shiv Sena,0,0,0,0.78,
Anandrao Vithoba Adsul,Buldhana,Maharashtra,Shiv Sena,32,3,1255,0.80,
Anant Gangaram Geete,Ratnagiri,Maharashtra,Shiv Sena,60,3,13,0.74,
Anantrao Gudhe,Amravati,Maharashtra,Shiv Sena,28,0,101,0.63,
Bhavana Pundlikrao Gawali,Washim,Maharashtra,Shiv Sena,6,0,244,0.60,
Chandrakant Bhaurao Khaire,Aurangabad,Maharashtra,Shiv Sena,50,8,633,0.67,
Kalpana Ramesh Narhire,Osmanabad,Maharashtra,Shiv Sena,11,0,249,0.70,
Mohan Rawale,Mumbai South Central,Maharashtra,Shiv Sena,29,0,290,0.59,
Prakash B. Jadhao,Ramtek ,Maharashtra,Shiv Sena,1,0,26,0.43,
Shivaji Adhalrao Patil,Khed,Maharashtra,Shiv Sena,5,4,1251,0.43,
Suresh Prabhakar Prabhu,Rajapur,Maharashtra,Shiv Sena,83,0,332,0.70,
Tukaram Ganpatrao Renge Patil,Parbhani,Maharashtra,Shiv Sena,32,1,578,0.55,
Nakul Das Rai,Sikkim,Sikkim,Sikkim Democratic Front,12,0,75,0.82,
Ale Narendra,Medak,Andhra Pradesh,Telangana Rashtra Samithi,1,0,0,0.71,
Kalva Kuntla Chandrasekhar Rao,Karimnagar,Andhra Pradesh,Telangana Rashtra Samithi,10,0,16,0.15,
Vinod Kumar Boianapalli,Hanamkonda,Andhra Pradesh,Telangana Rashtra Samithi,15,0,231,0.63,
D.K. Audikesavulu,Chittoor,Andhra Pradesh,Telugu Desam Party,5,0,18,0.53,
Errabelli Dayakar Rao ,Warangal ,Andhra Pradesh,Telugu Desam Party,0,0,26,1.00,
Kinjarapu Yerrannaidu,Srikakulam,Andhra Pradesh,Telugu Desam Party,132,0,585,0.75,
M. Jagannath^,Nagarkurnool,Andhra Pradesh,Telugu Desam Party,60,0,674,0.71,
Pappala Chalapathirao,Anakapalli,Andhra Pradesh,Telugu Desam Party,0,0,1,0.77,
