MP name,Nature of membership,Start of term,End of term,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Chandan Mitra,Elected,30-Jun-10,In office,Madhya Pradesh,Bharatiya Janata Party,Male,Doctorate,"B.A. (Hons.) in Economics, M.A.(History), D.Phil. Educated at La Martiniere for Boys, Kolkata, St. Stephen's College, Delhi, Delhi University and Oxford University, U.K.",57,27,0,47,0.87,"This MP has been re-elected/nominated. During his previous term, this MP was a nominated representative; the term ended on 26th August, 2009. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23,0.6,162,77%,24.1,0.6,186,83%
Chiranjeevi Konidala,Elected,03-Apr-12,In office,Andhra Pradesh,Indian National Congress,Male,Information not available,,Information not available,0,0,0,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.8,0,43,78%
D. Raja,Elected,25-Jul-07,In office,Tamil Nadu,Communist Party of India,Male,Graduate,"B.Sc., B.Ed. Educated at University of Madras, Chennai and Department of Education, Madras ",63,132,1,630,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
D.P. Tripathi,Elected,03-Apr-12,In office,Maharashtra,Nationalist Congress Party,Male,Information not available,,Information not available,1,0,23,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,6.8,0.2,53,77%
Dara Singh,Nominated,27-Aug-03,26-08-2009,,Bharatiya Janata Party,Male,Others,Self-educated,83,0,0,19,0.57," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,25,77%,2.3,0.1,21,68%
Darshan Singh Yadav,Elected,03-Apr-12,In office,Uttar Pradesh,Samajwadi Party,Male,Information not available,,Information not available,0,0,0,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.3,0.1,17,76%
Dasari Narayana Rao,Elected,03-Apr-06,02-04-2012,Andhra Pradesh,Indian National Congress,Male,Graduate,"Honorary Doctorate from Andhra University, Visakhapatnam, 1986 ",65,0,0,0,0.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,19.6,0.8,254,78%
Debabrata Bandyopadhyay,Elected,18-Aug-11,In office,West Bengal,All India Trinamool Congress,Male,Post Graduate,"B.A. (Hons.) Economics, M.A. (Economics) ; Educated at Presidency College, Kolkata and University of Calcutta, Kolkata",80,35,0,37,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10.6,0.2,74,77%,15.1,0,36,77%
Derek O Brien,Elected,18-Aug-11,In office,West Bengal,All India Trinamool Congress,Male,Graduate,"B.A. ; Educated at Scottish Church College, Kolkata",51,8,0,0,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10.6,0.2,74,77%,15.1,0,36,77%
Devender T. Goud,Elected,03-Apr-12,In office,Andhra Pradesh,Telugu Desam Party,Male,Information not available,,Information not available,15,0,44,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.8,0,43,78%
Dharam Pal Sabharwal,Elected,10-Apr-04,09-04-2010,Punjab,Indian National Congress,Male,Graduate,"High School, Honours in Hindi (Prabhakar)",71,4,0,90,0.99," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",8.3,0.2,62,77%,5.1,0,92,78%
Dharmendra Pradhan,Elected,03-Apr-12,In office,Bihar,Bharatiya Janata Party,Male,Information not available,,Information not available,2,0,40,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,7.3,0,52,76%
Dhiraj Prasad Sahu,Elected,24-Jun-09,In office,Jharkhand,Indian National Congress,Male,Graduate,"B.A. Educated at Marwari College, Ranchi ",52,2,0,280,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.4,0.8,215,77%,25.7,0.5,297,75%
Dilip Kumar Tirkey,Elected,04-Apr-12,In office,Orissa,Biju Janata Dal,Male,Information not available,,Information not available,1,0,18,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,6.1,0.3,26,82%
Dilipbhai Shivshankarbhai Pandya,Elected,18-Aug-11,In office,Gujarat,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at University of Bombay, Mumbai",68,7,0,149,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10.6,0.2,74,77%,9,0.2,86,79%
E.M. Sudarsana Natchiappan,Elected,30-Jun-10,In office,Tamil Nadu,Indian National Congress,Male,Doctorate,"M.A., B.L. Educated at Thiayagarajar College, Madurai, Madras Law College, Chennai and Madurai Kamaraj University, Madurai",64,59,3,192,0.99," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
Ejaz Ali,Elected,20-Mar-08,07-07-2010,Bihar,Janata Dal (United),Male,Post Graduate,"M.B.B.S., M.S. (General Surgery) Educated at Hazaribagh High School and Patna Medical College and Hospital (Patna University), Patna, Bihar ",54,5,0,8,0.66," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,11,0,81,76%
G. N. Ratanpuri,Elected,04-Aug-09,In office,Jammu and Kashmir,Jammu and Kashmir National Conference,Male,Graduate,"B.Sc. ; Educated at Kashmir University, Srinagar",58,8,0,78,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",25.1,0.7,192,77%,10.7,0,69,88%
G. Sanjeeva Reddy,Elected,03-Apr-06,02-04-2012,Andhra Pradesh,Indian National Congress,Male,Graduate,"Honorary Doctorate from Mahatma Gandhi Kashi Vidyapeeth, Varanasi, 2004",82,2,0,0,0.74," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,19.6,0.8,254,78%
Ganga Charan,Elected,19-Jun-09,02-04-2012,Uttar Pradesh,Bahujan Samaj Party,Male,Professional Graduate,"BA, LLB",52,33,0,70,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.3,0.6,181,77%,19.2,1.2,117,76%
George Fernandes,Elected,04-Aug-09,07-07-2010,Bihar,Janata Dal (United),Male,Inter/ Higher Secondary,"S.S.L.C. Educated at St. Aloysius College (High School), Mangalore",82,0,0,0,0.16," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",6.4,0.2,55,77%,6.4,0,57,76%
Gireesh Kumar Sanghi,Elected,22-Jun-04,21-06-2010,Andhra Pradesh,Indian National Congress,Male,Post Graduate,"B.A., M.A (Political Science) Educated at Osmania University, Hyderabad ",57,15,3,200,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,9.2,0.7,115,78%
Govindrao Wamanrao Adik,Elected,04-Aug-09,02-04-2012,Maharashtra,Nationalist Congress Party,Male,Professional Graduate,"BA (Hons), LLB; Educated at Undirgaon, Janata Vidyalaya, Shrirampur and Dnyanmata Vidyalaya, Sangamner, Distt. Ahmednagar, M.E.S. College (now Garware College) and Law College, Pune",73,10,0,308,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20,0.5,159,77%,23.8,0.6,259,77%
Gundu Sudha Rani,Elected,22-Jun-10,In office,Andhra Pradesh,Telugu Desam Party,Female,Post Graduate,"M.A. (Public Administration) ; Educated at Madurai Kamaraj University, Madurai",48,17,0,304,0.63," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,14.2,0.1,182,78%
Gyan Prakash Pilania,Elected,10-Apr-08,In office,Rajasthan,Bharatiya Janata Party,Male,Doctorate,"LL.B., M.A. (History), M.A. (Hindi), Ph.D. (History), one year academic higher course in Public Administration, Manchester University, Manchester (U.K.), Sahitya Ratan, Prayag (Allahabad) Educated at Law Faculty, Delhi University, Nagpur University, Bhaga",80,58,0,610,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,30.5,0.4,314,81%
H.K. Dua,Nominated,18-Nov-09,In office,,Independent,Male,Post Diploma Course,"B.A., Post Graduate Diploma in Journalism ; Educated at Panjab University Hony. D. Litt. from Kurukshetra University, (Kurukshetra) and Panjab University",75,19,1,38,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",24.5,0.7,189,77%,12.3,0.2,77,68%
Hans Raj Bhardwaj,Elected,03-Apr-06,29-07-2009,Haryana,Indian National Congress,Male,Post Graduate,"M.A., LL.B., Doctor of Laws (Honoris Causa) Educated at G.B.C.High School, Rohtak, B.M.College, Shimla, Agra University and Panjab University, Chandigarh",75,0,0,0,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",3.3,0.1,19,77%,4.3,0,9,87%
Hemant Soren,Elected,24-Jun-09,04-01-2010,Jharkhand,Jharkhand Mukti Morcha,Male,Information not available,,Information not available,1,0,0,0.22," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",6.5,0.2,49,77%,6.7,0.5,46,75%
Hishey Lachungpa,Elected,12-Mar-12,In office,Sikkim,Sikkim Democratic Front,Male,Graduate,Bachelor in Arts,45,0,0,0,0.48," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",6.7,0.2,45,77%,0,0,0,63%
Husain Dalwai,Elected,26-Jul-11,In office,Maharashtra,Indian National Congress,Male,Others,Information yet to receive,52,18,0,133,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",11.6,0.3,85,77%,13.6,0.6,140,77%
Ishwar Singh,Elected,10-Apr-08,In office,Haryana,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at Kurukshetra University, Kurukshetra ",62,18,0,208,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,20.2,1.5,138,87%
Ishwarlal Shankarlal Jain,Elected,05-Jul-10,In office,Maharashtra,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Intermediate (Science) ; Educated at New English School, Jamner and M.J. College, Jalgaon",66,2,0,327,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,21.5,0.6,218,77%
Jabir Husain,Elected,03-Apr-06,02-04-2012,Bihar,Rashtriya Janata Dal,Male,Post Graduate,"B.A. Hons. (Eng.), M.A. (Eng.) Educated under Bihar Secondary Education Board, Patna and Bihar University, Muzaffarpur ",67,1,0,17,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,28.3,0.1,206,76%
Jagat Prakash Nadda,Elected,03-Apr-12,In office,Himachal Pradesh,Bharatiya Janata Party,Male,Information not available,,Information not available,2,0,6,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,5.1,0,21,88%
Jai Prakash,Elected,04-Aug-09,02-04-2012,Uttar Pradesh,Bahujan Samaj Party,Male,Information not available,,54,0,0,132,0.62," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20,0.5,159,77%,16.2,1.1,99,76%
Jai Prakash Narayan Singh,Elected,10-Apr-08,In office,Jharkhand,Bharatiya Janata Party,Male,Graduate,B.Sc. (Hons.) Educated at Bihar University ,63,33,0,370,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,25.9,0.5,297,75%
Janardan Dwivedi,Elected,28-Jan-12,In office,Delhi,Indian National Congress,Male,Post Graduate,"M.A., M. Litt. Educated at Allahabad University and Delhi University Conferred Honorary Degree of Doctor of Letters (D.Litt.) by the Tilak Maharashtra University, Pune ",67,2,0,0,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,4.8,0,56,92%
Janardhan Waghmare,Elected,03-Apr-08,In office,Maharashtra,Nationalist Congress Party,Male,Doctorate,"M.A., LL.M., Ph. D. Educated at Osmania University, Hyderabad, Pune University, Pune and Dr. Babasaheb Ambedkar Marathwada University, Aurangabad ",77,65,3,578,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,34.7,1,347,77%
Janeshwar Mishra,Elected,03-Apr-06,22-01-2010,Uttar Pradesh,Samajwadi Party,Male,Graduate,"B.A., LL.B. Educated at Ballia and Allahabad University",79,4,0,38,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",6.9,0.2,49,77%,6,0.2,36,76%
Javed Akhtar,Nominated,22-Mar-10,In office,,Independent,Male,Graduate,BA,67,1,0,0,0.57," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,11.5,0.2,64,68%
Jaya Bachchan,Elected,03-Apr-12,In office,Uttar Pradesh,Samajwadi Party,Female,Graduate,"S.S.C., Graduation Educated at St. Joseph's Convent School, Bhopal and Film & Television Institute of India, Pune ",64,10,0,93,0.51," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",15.1,0.5,110,77%,11.4,0.5,73,76%
Jayanthi Natarajan,Elected,03-Apr-08,In office,Tamil Nadu,Indian National Congress,Female,Graduate,"B.A., B.L. Educated at Ethiraj College and Madras Law College ",58,18,3,198,0.54,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",17.2,0.5,130,77%,25.3,0.2,143,70%
Jesudasu Seelam,Elected,22-Jun-10,In office,Andhra Pradesh,Indian National Congress,Male,Post Graduate,"B.Sc., M.Sc. (Chemistry) Educated at Andhra Christian College, Guntur and Andhra University, Waltair, Visakhapatnam ",59,27,0,117,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,23.4,0.8,297,78%
Jharna Das Baidya,Elected,03-Apr-10,In office,Tripura,Communist Party of India (Marxist),Female,Post Graduate,"B.A. (Hons.), M.A. (Bengali) ; Educated at Tulsi Bati Balika Vidyalaya, Agartala, M.B.B. College, Agartala and University of Calcutta",49,16,0,67,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,16,0,67,84%
Joy Abraham,Elected,02-Jul-12,In office,Kerala,Kerala Congress (M),Male,Information not available,,57,1,0,3,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",1.2,0,16,77%,2.6,0,20,70%
Jugul Kishore,Elected,05-Jul-10,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Inter/ Higher Secondary,"Intermediate, J.L.M.D.J. Inter College, Khairabad, Sitapur (Uttar Pradesh)",53,2,0,13,0.54," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,14.7,1,78,76%
K. Kasturirangan,Nominated,27-Aug-03,08-07-2009,,Independent,Male,Doctorate,"B. Sc. (Hons.) in Physics, M.Sc. (Physics) with specialization in Electronics, Ph.D. (Astronomy and Astrophysics) Educated at Bombay University, Mumbai and Physical Research Laboratory, Gujarat University, Ahmedabad",71,0,0,0,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",1,0.1,4,77%,0.5,0,2,68%
K. Keshava Rao,Elected,03-Apr-06,02-04-2012,Andhra Pradesh,Indian National Congress,Male,Doctorate,"M.A., Ph.D. Educated at Badruk College, Arts College, Osmania University, Hyderabad ",73,18,0,0,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,19.6,0.8,254,78%
K. Malaisamy,Elected,30-Jun-04,29-06-2010,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"B.A., B.L., M.B.A., M.A., Ph.D. Educated at Alagappa College, Karaikudi, Madras Law College, Chennai and University of Madras, Chennai ",75,29,0,126,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,17.2,0.2,81,70%
K. Parasaran,Nominated,29-Jun-12,In office,,Independent,Male,Professional Graduate,"SSLC in 1942 from Hindu High School, Madras, completed graduation in 1949 from Presidency College, Madras and completed degree in Law in 1949 from Law College, Madras.",84,0,0,0,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",1.2,0,16,77%,0.4,0.1,3,68%
K.B. Shanappa,Elected,03-Apr-06,02-04-2012,Karnataka,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Political Science) Educated at Mysore University, Mysore ",74,12,0,10,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,13.5,1.4,84,69%
K.E. Ismail,Elected,02-Jul-06,01-07-2012,Kerala,Communist Party of India,Male,Inter/ Higher Secondary,SSLC Educated at Kizhakkenchery (Kerala) ,73,1,0,338,0.32," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",27.6,0.7,199,77%,35.1,0.7,304,70%
K.N. Balagopal,Elected,03-Apr-10,In office,Kerala,Communist Party of India (Marxist),Male,Professional Post Graduate,"M.Com., LL.B., LL.M. ; Educated at S.N. College, Punalur, M.G. College, Trivendrum, The Law Academy, Trivendrum, Kerala University, Thiruvanathapuram (Kerala)",49,58,0,342,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,28.7,0.7,234,70%
K.P. Ramalingam,Elected,30-Jun-10,In office,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,"B.V.Sc. ; Educated at Madras Veterinary College, Chennai, Tamil Nadu",58,13,0,245,0.80," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,21.4,0.3,162,70%
K.V. Ramalingam,Elected,30-Jun-10,20-05-2011,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Arulmigu Palani Andavar Art and Science College, Palani, Tamil Nadu",56,5,0,0,0.65," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",7.1,0.2,53,77%,8.1,0,62,70%
K.V.P. Ramachandra Rao,Elected,10-Apr-08,In office,Andhra Pradesh,Indian National Congress,Male,Graduate,"M.B.B.S. Educated at Rangaraya Medical College, Kakinada, Andhra University, Andhra Pradesh ",64,7,0,303,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,23.4,0.8,297,78%
Kalraj Mishra,Elected,03-Apr-06,21-03-2012,Uttar Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A. Educated at Kashi Vidyapith, Varanasi ",71,55,3,356,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",22.9,0.6,175,77%,19.1,1.2,115,76%
Kamal Akhtar,Elected,05-Jul-04,04-07-2010,Uttar Pradesh,Samajwadi Party,Male,Graduate,"B.A. (Hons.) in Economics, LL.B. Educated at Jamia Milia Islamia, New Delhi ",40,7,0,225,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,8,0.4,56,76%
Kanimozhi,Elected,25-Jul-07,In office,Tamil Nadu,Dravida Munnetra Kazhagam,Female,Post Graduate,M.A. ( Economics),44,15,1,227,0.48," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
Kanjibhai Patel,Elected,03-Apr-06,02-04-2012,Gujarat,Bharatiya Janata Party,Male,Graduate,"B.A. (Special) Educated at S.B.Garda College, Navsari, Gujarat ",76,6,0,258,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,15.7,0,152,79%
Kanwar Deep Singh,Elected,08-Jul-10,In office,Jharkhand,Jharkhand Mukti Morcha,Male,Graduate,"B.A.,Punjabi University, Patiala (Punjab)",51,5,0,132,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,16.9,0,209,75%
Kapila Vatsyayan,Nominated,10-Apr-07,15-02-2012,,Independent,Female,Doctorate,"M.A. (English), M.A. (Education) Ph.D. and D. Litt. (Honoris causa) Educated at University of Delhi, University of Michigan, Ann Arbor (U.S.A.) and Banaras Hindu University, Varanasi (U.P.) ",83,7,0,0,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",22,0.6,170,77%,11.4,0.1,86,68%
Kaptan Singh Solanki,Elected,03-Apr-12,In office,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.Ed. Educated at P.G.B.T. College, Ujjain and Jiwaji University, Gwalior, Madhya Pradesh ",73,20,0,317,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",25.1,0.7,192,77%,26.2,0.8,215,83%
Karan Singh,Elected,28-Jan-12,In office,Delhi,Indian National Congress,Male,Doctorate,"M.A., Ph.D. Educated at Doon School, University of Jammu & Kashmir and University of Delhi ",81,9,0,0,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,4.8,0,56,92%
Khekiho Zhimomi,Elected,03-Apr-10,In office,Nagaland,Nagaland People's Front,Male,Graduate,"B.A. (Hons.) Political Science Educated at St. Joseph College, North Bengal University, Darjeeling ",72,10,1,63,0.49,"This MP has been re-elected/nominated. During his previous term, this MP was an elected representative from Nagaland; the term ended on 2nd April, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,10,1,63,49%
Kiranmay Nanda,Elected,03-Apr-12,In office,Uttar Pradesh,Samajwadi Party,Male,Information not available,,Information not available,0,0,0,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.3,0.1,17,76%
Kishore Kumar Mohanty,Elected,06-Aug-09,03-04-2012,Orissa,Biju Janata Dal,Male,Professional Graduate,"B.Com., LL.B",54,18,0,73,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",19.8,0.5,158,77%,30.1,0,154,82%
Krishan Lal Balmiki,Elected,04-Apr-06,21-04-2010,Rajasthan,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary Educated under Rajasthan Board of Secondary Education, Jaipur ",70,8,0,44,0.67," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",8.6,0.2,66,77%,12.8,0.4,127,81%
Kumar Deepak Das,Elected,15-Jun-07,In office,Assam,Asom Gana Parishad,Male,Graduate,"B.Sc., LL.B. Educated at M.C. College, Barpeta, Assam and Law College, Gauhati University, Jalukbari, Guwahati, Assam ",54,96,1,285,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.2,202,84%
Kunal Kumar Ghosh,Elected,03-Apr-12,In office,West Bengal,All India Trinamool Congress,Male,Information not available,,Information not available,2,0,0,0.50," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,7.4,0,13,77%
Kusum Rai,Elected,26-Nov-08,In office,Uttar Pradesh,Bharatiya Janata Party,Female,Inter/ Higher Secondary,,44,8,0,522,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Lalhming Liana,Elected,19-Jul-08,In office,Mizoram,Mizo National Front,Male,Graduate,"B.A. Educated at Aizawl College, North Eastern Hill University, Aizawl ",56,0,0,22,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,0,0,22,94%
Lalit Kishore Chaturvedi,Elected,05-Jul-04,04-07-2010,Rajasthan,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics), Rajasthan University, Visharad, Hindi Sahitya Sammelan, Allahabad ",81,16,0,293,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,14.5,0.4,144,81%
